,year,state_po,candidatevotes_rep,totalvotes,candidatevotes_dem,raw_lean,adjusted_lean,compound_lean
133,2012,NJ,1477568.0,3640292,2125101.0,-0.17787941187135536,-0.13848655553484995,-0.12494576367662352
134,2012,NM,335788.0,783758,415335.0,-0.10149433881376646,-0.06210148247726105,-0.06625602518505243
135,2012,NV,463567.0,1014918,531373.0,-0.06680933829136931,-0.027416481954863903,-0.03365256326043965
136,2012,NY,2223397.0,7061925,4324228.0,-0.2974870166420629,-0.2580941603055575,-0.24219729550679409
137,2012,OH,2661407.0,5580822,2827621.0,-0.029783067798972995,0.009609788537532415,0.013989520101570146
138,2012,OK,891325.0,1334872,443547.0,0.33544639486033123,0.37483925119683664,0.3774960442551399
139,2012,OR,754175.0,1789270,970488.0,-0.12089455476255678,-0.08150169842605137,-0.08385463498706475
140,2012,PA,2680434.0,5742040,2990274.0,-0.053959916684662546,-0.014567060348157135,-0.018569933078451895
141,2012,RI,157151.0,445719,279409.0,-0.2742938936863809,-0.2349010373498755,-0.22754997311266378
142,2012,SC,1071645.0,1964118,865941.0,0.10473097848499935,0.14412383482150476,0.1486767862633525
143,2012,SD,210610.0,363815,145039.0,0.1802317111718868,0.2196245675083922,0.20412605390969363
144,2012,TN,1462330.0,2458577,960709.0,0.20402899726142393,0.24342185359792934,0.2383731979289041
145,2012,TX,4569843.0,7993851,3308124.0,0.15783619184295533,0.19722904817946074,0.1954860838947324
146,2012,UT,740600.0,1017440,251813.0,0.4804086727472873,0.5198015290837927,0.47843765717795583
147,2012,VA,1822522.0,3854489,1971820.0,-0.038733538998295236,0.0006593173382101747,0.002888265290401662
148,2012,VT,92698.0,299290,199239.0,-0.35597915065655383,-0.3165862943200484,-0.31181465667364017
149,2012,WA,1290670.0,3125516,1755396.0,-0.14868776867563632,-0.10929491233913091,-0.10677145218913695
150,2012,WI,1410966.0,3071434,1620985.0,-0.06837815821534832,-0.028985301878842906,-0.03835808623907293
151,2012,WV,417655.0,670440,238269.0,0.2675645844520017,0.3069574407885071,0.2811607626470703
152,2012,WY,170962.0,249061,69286.0,0.4082373394469628,0.4476301957834682,0.4340189040074569
153,2016,AK,163347.0,318056,116180.0,0.148297784038031,0.16926269241838182,0.17176752910998783
154,2016,AL,1318250.0,2123367,729547.0,0.2772497641717141,0.2982146725520649,0.2890829539915909
155,2016,AR,684872.0,1129896,380494.0,0.2693858549813434,0.2903507633616942,0.2868311510613695
156,2016,AZ,1252401.0,2628756,1161167.0,0.03470614998120786,0.05567105836155867,0.07426342341573365
157,2016,CA,4483810.0,14181595,8753788.0,-0.3010929306611845,-0.28012802228083367,-0.258044254178961
