,current_party,dw_nominate,end_date,first_name,in_office,last_name,member_id,middle_name,name,party,start_date,state
G000562,R,0.449,2021-01-03,Cory,True,Gardner,G000562,,Cory Gardner,R,2015-01-06,CO
R000595,R,0.581,2021-01-03,Marco,True,Rubio,R000595,,Marco Rubio,R,2011-01-05,FL
S001217,R,,2021-01-03,Rick,True,Scott,S001217,,Rick Scott,R,2019-01-08,FL
I000055,R,0.402,2021-01-03,Johnny,True,Isakson,I000055,,Johnny Isakson,R,2005-01-04,GA
P000612,R,0.586,2021-01-03,David,True,Perdue,P000612,,David Perdue,R,2015-01-06,GA
G000386,R,0.344,2021-01-03,Charles,True,Grassley,G000386,E.,Charles E. Grassley,R,1981-01-05,IA
E000295,R,0.504,2021-01-03,Joni,True,Ernst,E000295,,Joni Ernst,R,2015-01-06,IA
C000880,R,0.51,2021-01-03,Michael,True,Crapo,C000880,D.,Michael D. Crapo,R,1999-01-06,ID
R000584,R,0.631,2021-01-03,Jim,True,Risch,R000584,,Jim Risch,R,2009-01-06,ID
B001310,R,,2021-01-03,Mike,True,Braun,B001310,,Mike Braun,R,2019-01-03,IN
Y000064,R,0.483,2021-01-03,Todd,True,Young,Y000064,,Todd Young,R,2017-01-03,IN
M000934,R,0.414,2021-01-03,Jerry,True,Moran,M000934,,Jerry Moran,R,2011-01-05,KS
R000307,R,0.414,2021-01-03,Pat,True,Roberts,R000307,,Pat Roberts,R,1997-01-07,KS
M000355,R,0.404,2021-01-03,Mitch,True,McConnell,M000355,,Mitch McConnell,R,1985-01-03,KY
P000603,R,0.878,2021-01-03,Rand,True,Paul,P000603,,Rand Paul,R,2011-01-05,KY
C001075,R,0.451,2021-01-03,Bill,True,Cassidy,C001075,,Bill Cassidy,R,2015-01-06,LA
K000393,R,0.544,2021-01-03,John,True,Kennedy,K000393,,John Kennedy,R,2017-01-03,LA
C001035,R,0.111,2021-01-03,Susan,True,Collins,C001035,,Susan Collins,R,1997-01-07,ME
B000575,R,0.429,2021-01-03,Roy,True,Blunt,B000575,,Roy Blunt,R,2011-01-05,MO
H001089,R,,2021-01-03,Joshua,True,Hawley,H001089,,Joshua Hawley,R,2019-01-03,MO
W000437,R,0.377,2021-01-03,Roger,True,Wicker,W000437,,Roger Wicker,R,2007-12-31,MS
H001079,R,0.378,2021-01-03,Cindy,True,Hyde-Smith,H001079,,Cindy Hyde-Smith,R,2018-04-09,MS
D000618,R,0.543,2021-01-03,Steve,True,Daines,D000618,,Steve Daines,R,2015-01-06,MT
T000476,R,0.416,2021-01-03,Thom,True,Tillis,T000476,,Thom Tillis,R,2015-01-06,NC
B001135,R,0.452,2021-01-03,Richard,True,Burr,B001135,M.,Richard M. Burr,R,2005-01-04,NC
H001061,R,0.342,2021-01-03,John,True,Hoeven,H001061,,John Hoeven,R,2011-01-05,ND
C001096,R,0.392,2021-01-03,Kevin,True,Cramer,C001096,,Kevin Cramer,R,2019-01-03,ND
F000463,R,0.466,2021-01-03,Deb,True,Fischer,F000463,,Deb Fischer,R,2013-01-03,NE
S001197,R,0.809,2021-01-03,Ben,True,Sasse,S001197,,Ben Sasse,R,2015-01-06,NE
P000449,R,0.374,2021-01-03,Rob,True,Portman,P000449,,Rob Portman,R,2011-01-05,OH
